cohort,reaction_pt,a,b,c,d,N,PRR,PRR_LCL,PRR_UCL,ROR,ROR_LCL,ROR_UCL,chi2,flagged,unstable_den,sparse_bg
HYDRALAZINE,NEUTROPENIC SEPSIS,1,57,343,565101,1,28.422841,4.060414,198.9595,28.903944,3.990944,209.333435,26.397169,False,False,False
HYDRALAZINE,OFF LABEL USE,1,57,61801,503643,1,0.157749,0.0226,1.101082,0.142972,0.019797,1.032551,5.048616,False,False,False
HYDRALAZINE,PANCYTOPENIA,1,57,1606,563838,1,6.070383,0.869165,42.396479,6.159337,0.852352,44.50911,4.244543,False,False,False
HYDRALAZINE,PATHERGY REACTION,1,57,0,565444,1,28751.440678,1183.185252,698660.95735,29501.452174,1189.284467,731814.552494,10781.078396,False,True,False
HYDRALAZINE,PERICARDIAL EFFUSION,3,55,953,564491,3,30.68951,10.177141,92.545246,32.308938,10.090043,103.455211,86.041344,True,False,False
HYDRALAZINE,PERICARDITIS,1,57,1464,563980,1,6.659177,0.953413,46.511482,6.75846,0.935206,48.841411,4.818545,False,False,False
HYDRALAZINE,PNEUMONITIS,1,57,1323,564121,1,7.368885,1.054948,51.47219,7.48062,1.035062,54.064066,5.513341,False,False,False
HYDRALAZINE,PULMONARY ALVEOLAR HAEMORRHAGE,9,49,192,565252,9,456.985991,246.587165,846.906188,540.73852,261.958972,1116.198254,3912.930969,True,False,False
HYDRALAZINE,PULMONARY HYPERTENSION,1,57,643,564801,1,15.161795,2.168886,105.989905,15.410248,2.130598,111.459693,13.222268,False,False,False
HYDRALAZINE,PULMONARY RENAL SYNDROME,11,47,3,565441,11,35746.45977,10237.320714,124818.731555,44112.41844,11923.287307,163202.094395,84256.884023,True,False,False
HYDRALAZINE,RASH,1,57,18456,546988,1,0.528231,0.075675,3.687175,0.519955,0.071993,3.755264,0.435534,False,False,False
HYDRALAZINE,RENAL FAILURE,1,57,5272,560172,1,1.84921,0.264886,12.909638,1.864108,0.258071,13.46491,0.393577,False,False,False
HYDRALAZINE,RENAL IMPAIRMENT,2,56,4518,560926,2,4.315642,1.105295,16.850495,4.434057,1.081718,18.175596,5.133491,False,False,False
HYDRALAZINE,RENAL VASCULITIS,5,53,7,565437,5,6963.596059,2275.657722,21308.859235,7620.444744,2344.372109,24770.46108,20305.086467,True,False,False
HYDRALAZINE,RESPIRATORY DISTRESS,1,57,727,564717,1,13.409951,1.918626,93.72684,13.62767,1.88447,98.549414,11.483531,False,False,False
HYDRALAZINE,RESPIRATORY FAILURE,2,56,2068,563376,2,9.428467,2.413866,36.827218,9.729483,2.372725,39.896256,15.109806,False,False,False
HYDRALAZINE,SHOCK,1,57,629,564815,1,15.49926,2.217084,108.352685,15.753633,2.178,113.947166,13.557353,False,False,False
HYDRALAZINE,SYSTEMIC LUPUS ERYTHEMATOSUS,1,57,2238,563206,1,4.356137,0.623826,30.418639,4.415017,0.611071,31.898711,2.594817,False,False,False
HYDRALAZINE,TACHYCARDIA,1,57,3217,562227,1,3.030474,0.434041,21.158771,3.066096,0.424426,22.14977,1.367816,False,False,False
HYDRALAZINE,UROSEPSIS,1,57,471,564973,1,20.698587,2.959261,144.776532,21.044176,2.907932,152.292863,18.722809,False,False,False
HYDRALAZINE,VARICELLA ZOSTER VIRUS INFECTION,1,57,97,565347,1,100.50551,14.253743,708.681032,102.251221,14.017722,745.863831,97.527101,False,False,False
HYDRALAZINE,VASCULITIS,4,54,819,564625,4,47.614332,18.449867,122.880268,51.067246,18.452234,141.330502,181.918891,True,False,False
HYDRALAZINE,VENTILATION PERFUSION MISMATCH,1,57,25,565419,1,389.961379,53.724624,2830.543343,396.785263,52.867527,2977.982005,373.059406,False,False,False
HYDRALAZINE,VENTRICULAR HYPERKINESIA,1,57,3,565441,1,3249.678161,343.01705,30786.831587,3306.672515,338.878702,32265.477414,2435.776081,False,False,False
HYDRALAZINE,WEIGHT DECREASED,1,57,18569,546875,1,0.525017,0.075215,3.664736,0.516684,0.07154,3.73164,0.444284,False,False,False
MINOXIDIL_SYSTEMIC,ABDOMINAL PAIN,1,25,12188,553288,1,1.784466,0.261088,12.196363,1.815845,0.246019,13.40258,0.352426,False,False,False
MINOXIDIL_SYSTEMIC,ACCIDENTAL EXPOSURE TO PRODUCT,1,25,7201,558275,1,3.020286,0.441877,20.644038,3.101097,0.420128,22.890152,1.368623,False,False,False
MINOXIDIL_SYSTEMIC,ACCIDENTAL EXPOSURE TO PRODUCT BY CHILD,2,24,67,565409,2,649.226177,167.815811,2511.650279,703.245025,162.94996,3035.002673,1257.088371,False,False,False
MINOXIDIL_SYSTEMIC,ACCIDENTAL OVERDOSE,4,22,703,564773,4,123.750082,50.08758,305.746109,146.068279,50.206129,424.96688,484.883372,True,False,False
MINOXIDIL_SYSTEMIC,ACCIDENTAL POISONING,1,25,20,565456,1,1087.453846,151.459882,7807.716819,1130.912,146.127266,8752.384019,1033.804834,False,False,False
MINOXIDIL_SYSTEMIC,ACUTE KIDNEY INJURY,2,24,6006,559470,2,7.24245,1.912027,27.433227,7.762654,1.834147,32.853862,10.872984,False,False,False
MINOXIDIL_SYSTEMIC,ADVERSE DRUG REACTION,1,25,2702,562774,1,8.049251,1.177358,55.030373,8.331221,1.128441,61.508971,6.200841,False,False,False
MINOXIDIL_SYSTEMIC,ALOPECIA AREATA,1,25,63,565413,1,345.223443,49.722464,2396.888993,358.992381,47.908269,2690.047733,337.90167,False,False,False
MINOXIDIL_SYSTEMIC,ARRHYTHMIA,1,25,1508,563968,1,14.422465,2.108946,98.631041,14.959363,2.025634,110.475294,12.516923,False,False,False
MINOXIDIL_SYSTEMIC,BRAIN NATRIURETIC PEPTIDE INCREASED,1,25,229,565247,1,94.974135,13.836485,651.905906,98.7331,13.321922,731.743158,92.618053,False,False,False
MINOXIDIL_SYSTEMIC,CARDIAC FAILURE,1,25,3245,562231,1,6.702335,0.980406,45.819066,6.930428,0.938763,51.163946,4.878042,False,False,False
MINOXIDIL_SYSTEMIC,CARDIAC TAMPONADE,3,23,172,565304,3,379.344365,129.500546,1111.208809,428.69363,127.529503,1441.06441,1112.979008,True,False,False
MINOXIDIL_SYSTEMIC,CHEST DISCOMFORT,1,25,4402,561074,1,4.940726,0.72278,33.773474,5.098355,0.690653,37.635722,3.167071,False,False,False
MINOXIDIL_SYSTEMIC,CHEST PAIN,1,25,6951,558525,1,3.128913,0.457767,21.386629,3.21407,0.435432,23.724153,1.466331,False,False,False
MINOXIDIL_SYSTEMIC,CHORIORETINOPATHY,1,25,6,565470,1,3624.846154,452.015079,29068.74184,3769.8,437.793525,32461.402959,3105.335379,False,False,False
MINOXIDIL_SYSTEMIC,DIARRHOEA,1,25,32585,532891,1,0.667457,0.097662,4.561659,0.654155,0.088632,4.828018,0.175807,False,False,False
MINOXIDIL_SYSTEMIC,DISEASE PROGRESSION,1,25,4282,561194,1,5.079187,0.74303,34.720173,5.242354,0.710156,38.698948,3.300299,False,False,False
MINOXIDIL_SYSTEMIC,DRUG HYPERSENSITIVITY,1,25,7883,557593,1,2.758985,0.403653,18.857787,2.829344,0.383316,20.884019,1.137148,False,False,False
MINOXIDIL_SYSTEMIC,DRUG INEFFECTIVE,1,25,42727,522749,1,0.509024,0.07448,3.478844,0.489385,0.066308,3.611902,0.512262,False,False,False
MINOXIDIL_SYSTEMIC,DRUG INEFFECTIVE FOR UNAPPROVED INDICATION,1,25,1711,563765,1,12.711325,1.858878,86.92222,13.179778,1.784797,97.325652,10.816438,False,False,False
MINOXIDIL_SYSTEMIC,DYSPNOEA,1,25,24366,541110,1,0.892599,0.130603,6.100434,0.888303,0.120356,6.556225,0.013504,False,False,False
MINOXIDIL_SYSTEMIC,EXPOSURE VIA UNKNOWN ROUTE,2,24,2,565474,2,21749.076923,3182.397868,148637.086421,23561.416667,3187.35738,174169.473087,21747.230795,False,True,False
MINOXIDIL_SYSTEMIC,FLUID RETENTION,1,25,2433,563043,1,8.939201,1.307477,61.1172,9.256769,1.253755,68.344931,7.078639,False,False,False
MINOXIDIL_SYSTEMIC,HEADACHE,2,24,30411,535065,2,1.430343,0.377687,5.416863,1.466205,0.346494,6.204311,0.273652,False,False,False
MINOXIDIL_SYSTEMIC,HYPERLACTACIDAEMIA,2,24,110,565366,2,395.437762,103.067928,1517.164719,428.307576,100.009341,1834.30245,772.982236,False,False,False
MINOXIDIL_SYSTEMIC,HYPERSENSITIVITY PNEUMONITIS,1,25,81,565395,1,268.507123,38.808607,1857.734149,279.207407,37.386465,2085.160386,263.298894,False,False,False
MINOXIDIL_SYSTEMIC,HYPERTENSION,1,25,11932,553544,1,1.822752,0.266689,12.458057,1.855662,0.251413,13.696488,0.379347,False,False,False
MINOXIDIL_SYSTEMIC,HYPERTRICHOSIS,2,24,37,565439,2,1175.62578,298.738357,4626.442974,1273.511261,290.458266,5583.696951,2227.034886,False,False,False
MINOXIDIL_SYSTEMIC,HYPOTENSION,4,22,7939,557537,4,10.958094,4.447512,26.999324,12.768656,4.39906,37.062144,36.694584,True,False,False
MINOXIDIL_SYSTEMIC,INCORRECT ROUTE OF PRODUCT ADMINISTRATION,2,24,1356,564120,2,32.078285,8.46179,121.607413,34.668142,8.185106,146.837436,60.274974,False,False,False
MINOXIDIL_SYSTEMIC,ISCHAEMIA,1,25,122,565354,1,178.271122,25.872864,1228.336874,185.361967,24.919031,1378.828041,174.881625,False,False,False
MINOXIDIL_SYSTEMIC,MACULAR DETACHMENT,1,25,13,565463,1,1673.005917,227.020938,12329.033727,1739.886154,219.23748,13807.875527,1551.687321,False,False,False
MINOXIDIL_SYSTEMIC,MENTAL DISORDER,1,25,1847,563629,1,11.775353,1.722077,80.518421,12.206367,1.653047,90.133804,9.887251,False,False,False
MINOXIDIL_SYSTEMIC,MYOCARDIAL INFARCTION,1,25,3313,562163,1,6.564768,0.960289,44.878336,6.787359,0.919389,50.10743,4.743471,False,False,False
MINOXIDIL_SYSTEMIC,MYOCARDIAL INJURY,1,25,75,565401,1,289.987692,41.872218,2008.321166,301.5472,40.339741,2254.122425,284.239984,False,False,False
MINOXIDIL_SYSTEMIC,MYOCARDIAL ISCHAEMIA,1,25,234,565242,1,92.944773,13.542094,637.916935,96.622564,13.038317,716.037212,90.60614,False,False,False
MINOXIDIL_SYSTEMIC,OEDEMA,1,25,2565,562911,1,8.479172,1.240218,57.970762,8.778339,1.188979,64.81125,6.624597,False,False,False
MINOXIDIL_SYSTEMIC,OEDEMA PERIPHERAL,4,22,4307,561169,4,20.198818,8.196149,49.77853,23.689512,8.159953,68.774048,73.48578,True,False,False
MINOXIDIL_SYSTEMIC,OFF LABEL USE,3,23,61799,503677,3,1.055798,0.364201,3.0607,1.063075,0.319177,3.540758,0.009931,False,False,False
MINOXIDIL_SYSTEMIC,OVERDOSE,1,25,3561,561915,1,6.107576,0.89343,41.751981,6.311879,0.855,46.596273,4.297175,False,False,False
MINOXIDIL_SYSTEMIC,PAIN IN EXTREMITY,1,25,16744,548732,1,1.298918,0.190051,8.877566,1.310874,0.177607,9.675231,0.070884,False,False,False
MINOXIDIL_SYSTEMIC,PERICARDIAL EFFUSION,5,21,951,564525,5,114.348459,51.880072,252.03454,141.336187,53.183438,375.60411,559.794161,True,False,False
MINOXIDIL_SYSTEMIC,PERICARDITIS,1,25,1464,564012,1,14.855927,2.172286,101.597385,15.410164,2.086637,113.806647,12.947962,False,False,False
MINOXIDIL_SYSTEMIC,PLEURAL EFFUSION,3,23,2422,563054,3,26.939402,9.286179,78.151776,30.322802,9.098345,101.059294,75.159169,True,False,False
MINOXIDIL_SYSTEMIC,PLEUROPERICARDITIS,1,25,5,565471,1,4349.815385,526.107883,35963.904892,4523.768,510.063571,40121.42422,3623.218121,False,False,False
MINOXIDIL_SYSTEMIC,PRESCRIPTION DRUG USED WITHOUT A PRESCRIPTION,1,25,274,565202,1,79.376193,11.572344,544.451501,82.511241,11.140789,611.097181,77.144893,False,False,False
MINOXIDIL_SYSTEMIC,PRODUCT ODOUR ABNORMAL,1,25,296,565180,1,73.476611,10.715136,503.84915,76.375676,10.31504,565.508596,71.286953,False,False,False
MINOXIDIL_SYSTEMIC,PULMONARY EOSINOPHILIA,1,25,10,565466,1,2174.907692,288.684907,16385.420051,2261.864,279.006637,18336.584417,1975.409473,False,False,False
MINOXIDIL_SYSTEMIC,PULMONARY HYPERTENSION,1,25,643,564833,1,33.824381,4.941613,231.521303,35.137356,4.753844,259.712732,31.840743,False,False,False
MINOXIDIL_SYSTEMIC,PULMONARY OEDEMA,4,22,1675,563801,4,51.938094,21.058751,128.097133,61.199566,21.066598,177.787932,199.946975,True,False,False
MINOXIDIL_SYSTEMIC,RASH PAPULAR,1,25,840,564636,1,25.891758,3.784065,177.159501,26.887429,3.63896,198.664977,23.937525,False,False,False
MINOXIDIL_SYSTEMIC,RESPIRATORY DISTRESS,1,25,727,564749,1,29.916199,4.371427,204.733818,31.072847,4.204669,229.630869,27.947212,False,False,False
MINOXIDIL_SYSTEMIC,RESPIRATORY FAILURE,1,25,2069,563407,1,10.511879,1.537391,71.874767,10.892354,1.475179,80.426427,8.634457,False,False,False
MINOXIDIL_SYSTEMIC,RIGHT VENTRICULAR DIASTOLIC COLLAPSE,1,25,0,565476,1,62830.777778,2617.145148,1508401.870372,66526.647059,2647.157715,1671904.452302,23560.875,False,True,False
MINOXIDIL_SYSTEMIC,SHOCK,1,25,629,564847,1,34.577229,5.051427,236.682581,35.920318,4.859612,265.508707,32.590702,False,False,False
MINOXIDIL_SYSTEMIC,SINUS BRADYCARDIA,1,25,228,565248,1,95.390688,13.896906,654.777647,99.166316,13.380129,734.967357,93.030979,False,False,False
MINOXIDIL_SYSTEMIC,SINUS TACHYCARDIA,1,25,433,565043,1,50.228815,7.332715,344.065465,52.197968,7.056916,386.093283,48.174524,False,False,False
MINOXIDIL_SYSTEMIC,SUPRAVENTRICULAR EXTRASYSTOLES,1,25,103,565373,1,211.156087,30.599468,1457.113337,219.56233,29.474064,1635.594492,207.187764,False,False,False
MINOXIDIL_SYSTEMIC,SWELLING,1,25,5340,560136,1,4.072861,0.595843,27.83987,4.195775,0.568406,30.971748,2.340056,False,False,False
MINOXIDIL_SYSTEMIC,THERAPEUTIC PRODUCT EFFECT INCOMPLETE,1,25,7518,557958,1,2.892934,0.423248,19.773457,2.968651,0.402187,21.912405,1.255127,False,False,False
MINOXIDIL_SYSTEMIC,TOXICITY TO VARIOUS AGENTS,1,25,3688,561788,1,5.897255,0.862672,40.31382,6.093145,0.825378,44.981097,4.09242,False,False,False
MINOXIDIL_SYSTEMIC,VOMITING,2,24,18575,546901,2,2.341758,0.618331,8.868758,2.453571,0.579813,10.382686,1.58963,False,False,False
MINOXIDIL_SYSTEMIC,WEIGHT DECREASED,1,25,18569,546907,1,1.171257,0.171373,8.005013,1.178108,0.15962,8.695265,0.025889,False,False,False
MINOXIDIL_SYSTEMIC,WEIGHT INCREASED,2,24,14290,551186,2,3.043958,0.803725,11.528413,3.214287,0.759564,13.602073,2.815733,False,False,False
MINOXIDIL_TOPICAL,ACNE,1,86,2232,563183,1,2.911749,0.414622,20.448238,2.933978,0.408427,21.076526,1.259597,False,False,False
MINOXIDIL_TOPICAL,ACUTE GENERALISED EXANTHEMATOUS PUSTULOSIS,1,86,218,565197,1,29.812032,4.227854,210.214755,30.147056,4.17978,217.438455,27.729165,False,False,False
MINOXIDIL_TOPICAL,ADVERSE DRUG REACTION,35,52,2668,562747,35,85.257048,65.808973,110.452479,141.968523,92.332103,218.288773,2890.485801,True,False,False
MINOXIDIL_TOPICAL,ALOPECIA,2,85,9033,556382,2,1.438951,0.365626,5.663113,1.449279,0.356569,5.890613,0.272091,False,False,False
MINOXIDIL_TOPICAL,ANXIETY,1,86,13604,551811,1,0.477729,0.068052,3.353692,0.471656,0.065681,3.386951,0.584999,False,False,False
MINOXIDIL_TOPICAL,APPLICATION SITE ACNE,1,86,7,565408,1,928.431856,115.438043,7467.085298,939.215947,114.329346,7715.66205,810.640284,False,False,False
MINOXIDIL_TOPICAL,APPLICATION SITE BURN,2,85,38,565377,2,342.053842,83.81816,1395.888794,350.078638,83.130996,1474.240158,646.153558,False,False,False
MINOXIDIL_TOPICAL,APPLICATION SITE DISCOMFORT,1,86,42,565373,1,154.738643,21.535596,1111.83583,156.526301,21.301894,1150.155121,149.204239,False,False,False
MINOXIDIL_TOPICAL,APPLICATION SITE DRYNESS,4,83,22,565393,4,1181.640543,415.806069,3357.994218,1238.538883,417.718224,3672.280677,3992.815973,True,False,False
MINOXIDIL_TOPICAL,APPLICATION SITE EROSION,1,86,13,565402,1,499.924845,66.112317,3780.306946,505.726297,65.434816,3908.608647,462.372089,False,False,False
MINOXIDIL_TOPICAL,APPLICATION SITE ERYTHEMA,6,81,230,565185,6,169.53973,77.499224,370.890422,182.024155,78.637765,421.334364,980.124997,True,False,False
MINOXIDIL_TOPICAL,APPLICATION SITE EXFOLIATION,4,83,36,565379,4,722.113665,262.637208,1985.431349,756.866131,263.487947,2174.089358,2592.597565,True,False,False
MINOXIDIL_TOPICAL,APPLICATION SITE HAEMORRHAGE,2,85,87,565328,2,149.402827,37.364437,597.391715,152.894659,37.038156,631.153901,288.239258,False,False,False
MINOXIDIL_TOPICAL,APPLICATION SITE HYPERSENSITIVITY,1,86,21,565394,1,309.477285,42.089495,2275.536701,313.06423,41.64495,2353.447724,293.515548,False,False,False
MINOXIDIL_TOPICAL,APPLICATION SITE INFLAMMATION,1,86,24,565391,1,270.792625,37.040273,1979.700448,273.929748,36.646548,2047.600957,258.055873,False,False,False
MINOXIDIL_TOPICAL,APPLICATION SITE IRRITATION,7,80,112,565303,7,406.188937,194.94066,846.357308,441.642969,199.550413,977.43978,2663.468519,True,False,False
MINOXIDIL_TOPICAL,APPLICATION SITE PAIN,5,82,328,565087,5,99.070472,42.014018,233.611518,105.050379,42.313507,260.805191,478.396207,True,False,False
MINOXIDIL_TOPICAL,APPLICATION SITE PAPULES,2,85,6,565409,2,2166.340996,443.332321,10585.813593,2217.290196,441.265555,11141.535434,3246.558115,False,False,False
MINOXIDIL_TOPICAL,APPLICATION SITE PRURITUS,8,79,229,565186,8,227.040104,115.840389,444.984773,249.930242,119.405771,523.133221,1740.313918,True,False,False
MINOXIDIL_TOPICAL,APPLICATION SITE RASH,3,84,114,565301,3,171.026921,55.414862,527.84048,177.099311,55.176239,568.436098,494.19803,True,False,False
MINOXIDIL_TOPICAL,APPLICATION SITE SCAB,1,86,25,565390,1,259.96092,35.615954,1897.455277,262.972093,35.23668,1962.566344,248.054449,False,False,False
MINOXIDIL_TOPICAL,APPLICATION SITE SWELLING,1,86,51,565364,1,127.431823,17.808003,911.886045,128.901961,17.61366,943.342563,123.038683,False,False,False
MINOXIDIL_TOPICAL,APPLICATION SITE VESICLES,3,84,48,565367,3,406.188937,128.956109,1279.423316,420.65997,128.502295,1377.05564,1141.349235,True,False,False
MINOXIDIL_TOPICAL,APPLICATION SITE WARMTH,1,86,10,565405,1,649.902299,84.093285,5022.672118,657.447674,83.251131,5191.970835,589.014946,False,False,False
MINOXIDIL_TOPICAL,ATRIAL APPENDAGE CLOSURE,1,86,10,565405,1,649.902299,84.093285,5022.672118,657.447674,83.251131,5191.970835,589.014946,False,False,False
MINOXIDIL_TOPICAL,ATRIAL THROMBOSIS,1,86,67,565348,1,97.000343,13.617512,690.953414,98.116626,13.467824,714.805353,93.624695,False,False,False
MINOXIDIL_TOPICAL,BRAIN OPERATION,1,86,110,565305,1,59.082027,8.341852,418.454574,59.7574,8.248992,432.894949,56.595657,False,False,False
MINOXIDIL_TOPICAL,CANCER SURGERY,1,86,33,565382,1,196.940091,27.236407,1424.027766,199.218464,26.943174,1473.026031,189.222864,False,False,False
MINOXIDIL_TOPICAL,CARDIAC OPERATION,1,86,277,565138,1,23.462177,3.330536,165.280848,23.723365,3.292285,170.9445,21.437982,False,False,False
MINOXIDIL_TOPICAL,CATARACT,1,86,3536,561879,1,1.837959,0.261761,12.90527,1.847703,0.257253,13.271021,0.384337,False,False,False
MINOXIDIL_TOPICAL,CHOLELITHIASIS,1,86,1348,564067,1,4.821234,0.686326,33.867717,4.865667,0.677136,34.963007,3.033641,False,False,False
